history_id,user_id,quiz_type,start_time,end_time,total_questions,correct_answers,score,quiz_mode,completion_status,time_spent,accuracy
1,1349,每日一练,2024-07-21 08:55:48,2024-07-21 09:21:40,28,9,32.142857142857146,练习,完成,1552,32.142857142857146
2,3331,考点练习,2024-10-26 05:00:48,2024-10-26 05:48:12,14,2,14.285714285714285,PK,完成,2844,14.285714285714285
3,4395,每日一练,2024-12-10 15:35:48,2024-12-10 16:03:18,37,30,81.08108108108108,练习,未完成,1650,81.08108108108108
4,1215,考点练习,2024-12-03 13:45:48,2024-12-03 14:41:27,34,4,11.76470588235294,PK,未完成,3339,11.76470588235294
5,4420,每日一练,2024-08-22 07:27:48,2024-08-22 08:02:19,49,3,6.122448979591836,PK,未完成,2071,6.122448979591836
6,1060,在线挑战,2024-07-02 03:33:48,2024-07-02 04:21:38,9,2,22.22222222222222,PK,完成,2870,22.22222222222222
7,3860,每日一练,2025-01-04 05:06:48,2025-01-04 06:05:06,29,2,6.896551724137931,PK,未完成,3498,6.896551724137931
8,866,考点练习,2025-01-20 19:05:48,2025-01-20 19:30:11,46,25,54.347826086956516,练习,完成,1463,54.347826086956516
9,4346,在线挑战,2024-09-06 01:35:48,2024-09-06 01:54:29,44,8,18.181818181818183,练习,未完成,1121,18.181818181818183
10,2423,每日一练,2024-04-30 12:31:48,2024-04-30 13:00:33,24,5,20.833333333333336,PK,完成,1725,20.833333333333336
11,593,每日一练,2024-06-05 06:59:48,2024-06-05 07:52:34,39,6,15.384615384615385,PK,完成,3166,15.384615384615385
12,4348,考点练习,2025-01-31 18:04:48,2025-01-31 18:22:41,48,4,8.333333333333332,PK,完成,1073,8.333333333333332
13,1781,考点练习,2024-04-29 12:06:48,2024-04-29 12:30:31,22,10,45.45454545454545,练习,完成,1423,45.45454545454545
14,4470,每日一练,2024-05-26 14:05:48,2024-05-26 15:03:41,12,12,100.0,PK,未完成,3473,100.0
15,435,每日一练,2025-02-05 01:48:48,2025-02-05 02:01:26,29,6,20.689655172413794,PK,完成,758,20.689655172413794
16,2136,考点练习,2024-07-18 15:32:48,2024-07-18 15:51:55,40,4,10.0,练习,完成,1147,10.0
17,3022,考点练习,2024-10-10 15:02:48,2024-10-10 15:11:36,22,21,95.45454545454545,PK,完成,528,95.45454545454545
18,472,离线练习,2024-07-05 21:06:48,2024-07-05 21:33:38,29,20,68.96551724137932,练习,未完成,1610,68.96551724137932
19,3777,考点练习,2024-10-01 05:40:48,2024-10-01 06:20:37,43,16,37.2093023255814,PK,未完成,2389,37.2093023255814
20,825,每日一练,2024-04-27 12:30:48,2024-04-27 13:17:57,20,2,10.0,PK,完成,2829,10.0
21,82,离线练习,2025-03-24 04:18:48,2025-03-24 04:41:44,9,5,55.55555555555556,练习,完成,1376,55.55555555555556
22,326,在线挑战,2024-04-11 10:55:48,2024-04-11 11:08:59,44,4,9.090909090909092,PK,未完成,791,9.090909090909092
23,968,离线练习,2024-09-25 20:49:48,2024-09-25 21:33:24,17,2,11.76470588235294,PK,未完成,2616,11.76470588235294
24,1921,离线练习,2024-09-12 11:04:48,2024-09-12 11:28:26,23,7,30.434782608695656,PK,完成,1418,30.434782608695656
25,1395,离线练习,2024-11-01 03:45:48,2024-11-01 04:01:34,20,4,20.0,PK,完成,946,20.0
26,2175,在线挑战,2025-03-03 17:31:48,2025-03-03 18:21:07,7,1,14.285714285714285,PK,完成,2959,14.285714285714285
27,3276,考点练习,2025-01-08 07:26:48,2025-01-08 08:03:17,30,1,3.3333333333333335,PK,完成,2189,3.3333333333333335
28,963,每日一练,2024-06-01 09:38:48,2024-06-01 09:47:27,34,16,47.05882352941176,PK,未完成,519,47.05882352941176
29,3426,离线练习,2025-03-05 16:21:48,2025-03-05 16:57:15,17,6,35.294117647058826,PK,完成,2127,35.294117647058826
30,2931,离线练习,2025-04-03 12:07:48,2025-04-03 12:56:01,35,9,25.71428571428571,PK,未完成,2893,25.71428571428571
31,3897,每日一练,2024-07-06 07:23:48,2024-07-06 08:21:19,18,16,88.88888888888889,练习,完成,3451,88.88888888888889
32,2433,离线练习,2025-01-16 15:48:48,2025-01-16 16:37:08,33,18,54.54545454545454,练习,未完成,2900,54.54545454545454
33,3330,每日一练,2024-06-27 11:16:48,2024-06-27 11:59:09,10,1,10.0,PK,未完成,2541,10.0
34,4669,考点练习,2024-06-27 13:22:48,2024-06-27 13:30:00,8,7,87.5,练习,未完成,432,87.5
35,4842,在线挑战,2025-02-18 15:47:48,2025-02-18 16:36:43,29,26,89.65517241379311,练习,未完成,2935,89.65517241379311
36,1347,考点练习,2024-05-02 19:36:48,2024-05-02 20:13:05,12,6,50.0,PK,未完成,2177,50.0
37,657,在线挑战,2024-10-06 22:14:48,2024-10-06 22:48:36,28,28,100.0,PK,完成,2028,100.0
